id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_shareCount,stats_playCount,video_duration,isAd
7098774911350508843,AMAZON FINDS,ariellebrimhall,0,2,16,0,741,20,
7098727274781904174,AMAZON FINDS,ariellebrimhall,0,0,18,0,618,47,
7098716001486802222,AMAZON FINDS,ariellebrimhall,56,1,422,16,8779,50,
7098460774812765482,AMAZON FINDS,ariellebrimhall,4,0,29,1,2941,38,
7082795733862124842,AMAZON FINDS,ariellebrimhall,12,0,73,10,2838,36,
7082780350719577390,AMAZON FINDS,ariellebrimhall,18,0,50,11,2943,43,
7082767287442378030,AMAZON FINDS,ariellebrimhall,5,0,29,0,1115,37,
7082541911843573038,AMAZON FINDS,ariellebrimhall,0,0,3,0,228,27,
7082149852200865070,AMAZON FINDS,ariellebrimhall,11,0,47,1,2199,60,
7082103591624019246,AMAZON FINDS,ariellebrimhall,454,6,1085,12,31900,60,
7082068853265648939,AMAZON FINDS,ariellebrimhall,14,4,53,1,3336,57,
7082048229185015083,AMAZON FINDS,ariellebrimhall,6,0,22,0,1194,58,
7081019594151988526,AMAZON FINDS,ariellebrimhall,9,0,53,2,3474,26,
7080966920119422254,AMAZON FINDS,ariellebrimhall,10,2,55,6,4077,31,
7084331842354040110,AMAZON FINDS,ariellebrimhall,3,0,23,1,1647,25,
7084308209414180142,AMAZON FINDS,ariellebrimhall,2,0,2,0,651,30,
7084290977791364395,AMAZON FINDS,ariellebrimhall,1,0,9,0,729,27,
7084024923974290730,AMAZON FINDS,ariellebrimhall,1,0,8,0,347,39,
7083997610843032878,AMAZON FINDS,ariellebrimhall,2,0,20,0,683,34,
7082819678829153579,AMAZON FINDS,ariellebrimhall,77,0,218,20,8346,25,
7266097320587021610,AMAZON FINDS,ariellebrimhall,25,0,70,16,3839,40,
7266092616465272106,AMAZON FINDS,ariellebrimhall,4,0,46,8,2220,34,
7265730034453794094,AMAZON FINDS,ariellebrimhall,257,10,442,115,45600,80,
7265703653523180842,AMAZON FINDS,ariellebrimhall,82,3,291,127,18900,27,
7265321840749399339,AMAZON FINDS,ariellebrimhall,2063,24,6742,2333,289800,24,
7264955654304009515,AMAZON FINDS,ariellebrimhall,122,5,387,62,15200,25,
7264623723611819307,AMAZON FINDS,ariellebrimhall,6,6,48,4,3148,23,
7264573893866769707,AMAZON FINDS,ariellebrimhall,11,1,61,5,3144,26,
7263094617803951402,AMAZON FINDS,ariellebrimhall,48,0,144,16,4503,27,
7262774281870806303,AMAZON FINDS,ariellebrimhall,18000,990,59100,22400,899100,132,
7262717302058110250,AMAZON FINDS,ariellebrimhall,35,1,94,19,3696,35,
7262346368721849646,AMAZON FINDS,ariellebrimhall,55,3,177,28,6342,31,
7260495856481160490,AMAZON FINDS,ariellebrimhall,7,0,67,7,3640,24,
7260129379953560875,AMAZON FINDS,ariellebrimhall,63,3,184,32,8038,42,
7259387145515732267,AMAZON FINDS,ariellebrimhall,178,2,424,87,23000,33,
7257532410152111402,AMAZON FINDS,ariellebrimhall,56,1,162,44,9359,21,
7256785377711689006,AMAZON FINDS,ariellebrimhall,23,1,97,5,3594,33,
7254960376339565870,AMAZON FINDS,ariellebrimhall,17,0,65,5,1978,54,
